3,387,104,112,118
4,627,114,131,146
5,413,137,147,183
6,571,102,115,125
4,610,100,116,131
9,414,111,144,169
6,584,103,117,127
4,578,108,125,140
4,600,103,118,132
7,392,113,137,154
9,380,110,144,173
1,352,104,118,132
7,360,106,132,152
8,373,104,138,170
1,343,101,116,131
1,349,101,117,132
4,588,105,120,133
8,359,101,138,172
4,623,107,124,139
4,626,109,126,140
6,590,102,116,129
1,358,102,116,131
7,393,111,129,145
9,445,112,142,166
2,424,104,121,133
7,355,105,126,142
3,385,106,115,121
6,553,101,114,127
-1,424,98,165,204
8,376,94,130,167
6,570,99,111,121
9,418,111,140,164
9,415,110,142,165
8,390,98,133,170
1,366,108,122,137
5,519,126,143,173
5,475,151,156,196
1,319,102,115,128
4,563,104,120,136
8,401,96,133,170
4,598,109,126,141
1,369,101,115,129
4,600,108,125,138
3,412,102,111,118
7,395,103,125,146
7,383,105,121,139
-1,269,94,152,194
5,480,131,141,179
-1,414,85,134,166
6,575,101,111,120
9,428,111,139,163
1,381,103,118,134
5,552,122,140,173
8,368,90,123,161
2,497,111,127,140
-1,358,101,160,199
6,558,99,113,125
2,475,110,127,139
-1,420,86,141,171
6,576,102,116,128
5,513,126,141,175
3,413,103,111,117
6,567,100,114,127
3,401,105,114,120
5,472,125,142,175
3,412,105,113,120
4,570,103,118,131
1,344,107,122,139
7,398,114,136,154
9,362,108,139,170
4,624,101,116,129
7,368,106,130,152
1,340,102,116,131
8,368,91,130,173
5,569,140,151,192
7,361,105,126,144
8,361,99,133,169
3,386,106,114,122
1,371,105,120,134
8,394,98,137,171
6,568,101,114,124
8,381,99,136,173
3,401,102,111,117
3,428,102,111,118
1,327,105,120,134
8,368,99,134,168
5,505,156,161,197
5,558,139,151,188
3,462,108,116,122
2,437,107,123,136
8,367,96,137,171
3,445,104,113,120
2,408,106,120,133
4,624,101,117,129
2,439,107,123,136
9,368,107,139,170
9,419,106,142,179
3,389,107,116,124
7,391,111,131,151
8,393,92,131,165
2,445,106,122,133
9,448,120,145,159
9,418,114,144,165
9,450,109,137,160
5,501,131,145,182
9,413,110,143,167
7,368,104,127,149
-1,261,104,159,199
2,462,103,120,132
5,497,137,148,182
6,536,101,116,127
1,313,101,114,128
-1,269,98,151,192
3,421,100,110,116
2,465,105,121,133
4,566,98,114,126
4,615,101,119,134
9,398,105,140,171
9,389,111,138,162
-1,343,92,124,180
1,353,104,118,131
2,422,104,119,131
6,556,102,117,130
9,431,104,138,170
8,349,90,126,161
3,411,103,111,117
6,551,100,113,124
3,404,106,115,122
2,427,103,119,130
1,342,106,120,134
8,374,92,126,167
3,408,102,111,117
7,381,107,129,151
2,431,100,115,124
6,534,98,110,121
8,384,94,130,167
6,538,102,113,123
1,357,103,119,133
2,455,102,120,132
8,346,96,127,165
6,571,100,111,120
9,401,107,137,164
1,363,106,121,136
7,395,118,138,157
6,575,101,116,127
2,465,110,126,138
4,564,105,121,134
5,551,148,159,198
5,524,125,140,174
3,424,101,110,118
2,454,106,120,130
1,343,101,114,129
2,461,107,123,134
1,356,108,124,139
-1,454,85,134,167
9,402,102,139,173
8,385,94,129,164
4,569,109,126,142
2,437,103,117,130
9,444,99,134,166
1,353,103,118,132
6,575,101,116,128
9,432,115,140,160
9,445,113,146,169
4,614,106,123,139
4,599,106,122,137
5,527,152,160,198
8,346,97,133,168
1,328,107,121,137
8,373,98,133,166
3,430,104,113,120
2,462,107,123,135
9,384,103,139,171
6,544,101,115,126
-1,404,86,144,174
7,413,107,131,150
2,495,103,119,133
4,561,107,124,137
3,397,105,113,119
7,393,109,133,154
3,394,102,110,116
6,576,104,119,131
5,487,129,145,173
7,378,102,123,146
6,556,99,113,124
5,488,148,155,193
6,570,102,115,124
4,593,106,122,137
9,441,110,142,165
6,516,103,116,129
8,348,90,128,157
3,418,106,114,121
2,453,105,121,134
9,407,103,136,166
8,375,95,129,172
3,395,98,106,114
7,401,113,135,155
3,396,105,115,123
9,437,107,136,161
4,601,101,117,132
3,440,105,113,120
1,337,102,117,132
6,547,102,117,130
5,463,118,139,167
1,343,106,121,137
2,461,106,122,136
5,453,125,147,176
6,569,99,113,124
6,566,100,113,124
9,407,102,138,171
2,437,107,124,137
6,578,102,113,124
5,455,126,150,175
5,466,156,163,201
3,386,105,115,122
4,606,109,126,140
8,343,89,127,160
2,460,108,127,141
5,524,124,146,175
-1,443,99,165,207
4,625,110,126,141
4,595,107,122,136
9,383,102,136,166
4,619,100,117,131
8,391,98,130,169
2,445,102,117,129
3,391,104,112,118
7,389,104,124,144
6,532,101,112,123
4,623,108,122,136
9,427,111,138,157
9,402,115,150,173
6,556,101,115,126
6,581,100,115,127
8,371,94,130,165
4,594,108,123,136
6,560,99,115,128
7,370,105,128,147
1,359,102,117,132
1,343,106,122,137
2,473,106,121,133
9,368,112,147,175
3,412,102,111,118
4,629,101,117,132
2,465,105,122,135
7,425,115,138,155
4,622,102,119,133
-1,357,90,121,180
3,426,102,109,114
6,581,101,114,126
5,510,128,143,176
5,471,140,149,190
-1,333,88,120,176
6,552,104,119,129
8,336,93,130,163
3,427,106,114,119
6,533,103,116,128
6,557,101,112,123
7,373,109,131,148
7,328,104,127,147
7,383,116,138,158
1,354,104,120,134
1,333,106,122,138
5,453,154,161,196
6,543,99,114,126
5,509,134,145,186
6,554,99,111,121
6,553,104,115,126
4,592,109,125,139
4,582,113,130,143
6,555,100,113,123
9,392,104,135,161
5,588,142,153,194
4,605,103,119,133
5,483,143,151,192
5,512,140,147,189
4,589,107,125,138
5,571,121,138,169
8,329,95,127,161
6,593,104,118,130
1,347,105,120,135
5,533,144,151,193
1,338,102,118,133
4,587,109,126,140
9,407,117,153,176
9,416,109,141,166
3,389,101,109,115
-1,199,104,156,196
4,610,99,115,130
2,419,103,121,134
1,366,104,118,131
6,551,102,112,124
3,417,98,108,114
2,429,106,121,134
8,358,88,121,158
1,330,105,120,133
8,399,98,132,169
4,616,108,123,138
6,582,100,113,125
6,571,101,113,125
8,341,94,132,163
7,387,111,128,139
2,459,103,120,133
8,352,97,134,170
7,401,106,129,150
3,409,106,116,124
6,502,99,110,118
3,415,101,108,114
5,463,141,150,188
4,540,105,120,135
9,397,109,137,162
7,360,111,135,156
5,496,130,143,179
-1,433,93,141,171
2,421,103,118,130
2,461,104,119,133
7,369,113,131,146
7,397,106,126,145
9,428,108,138,160
4,616,100,118,132
4,562,99,113,127
8,392,92,126,164
6,521,102,114,126
8,375,99,133,170
9,383,104,141,176
-1,453,90,139,172
1,346,103,117,130
3,385,103,112,119
9,387,109,142,171
9,425,103,137,168
4,585,107,123,139
8,356,98,136,169
4,650,98,114,129
3,439,105,112,118
8,341,92,128,165
8,358,84,121,149
-1,401,76,139,171
2,463,103,118,130
6,596,101,115,127
8,346,96,133,168
3,374,104,112,119
3,436,106,112,118
6,540,98,109,118
1,340,106,121,136
8,370,97,124,168
2,449,100,118,130
4,614,100,117,132
7,395,108,131,147
4,586,99,115,130
9,381,107,137,161
4,644,111,129,143
1,384,104,120,135
3,424,105,115,122
1,345,106,120,134
7,393,114,135,153
7,393,109,129,147
9,408,113,142,163
5,520,128,145,177
8,383,95,127,161
3,449,107,113,118
5,534,138,147,187
3,392,103,110,116
2,433,107,123,134
2,453,104,119,131
6,530,100,113,123
7,380,112,132,148
6,529,102,117,126
1,358,108,122,137
5,537,138,149,187
8,380,100,128,177
6,503,100,114,124
6,496,99,111,121
8,380,93,128,164
8,387,93,127,168
3,438,105,112,118
2,454,108,124,138
3,437,105,112,117
9,362,109,145,182
6,575,104,115,126
4,580,106,123,135
5,533,144,153,193
3,433,104,112,120
9,456,111,138,161
6,539,102,115,126
8,399,106,142,173
7,396,103,125,146
8,377,97,131,165
4,607,102,118,134
1,319,103,119,134
7,404,111,131,149
2,478,104,122,133
2,436,110,125,137
6,568,102,115,125
6,551,102,116,129
9,401,109,138,163
-1,255,93,151,195
8,355,98,133,168
4,613,101,118,133
2,455,109,124,137
1,351,105,120,134
1,382,102,117,132
2,468,110,126,138
1,356,105,121,137
2,441,104,119,132
8,307,95,128,160
2,425,105,120,133
1,339,104,119,134
5,453,128,150,178
1,326,104,119,135
3,385,103,111,119
5,494,133,147,179
6,545,99,111,121
8,380,95,130,172
2,447,105,120,133
9,356,107,139,169
9,405,103,137,167
7,404,113,131,147
9,369,108,135,159
3,478,107,115,123
9,386,121,153,175
7,411,110,134,149
-1,344,91,118,174
5,480,142,151,187
4,590,101,114,128
2,452,107,124,136
